id,name,analyst,current_url,final_url,status_code,verdict,why,rss_feeds,ical_feeds,jsonld_events,sec_cik,suggested_action
58022,DTE Energy,Rodrigo Maass,https://ir.dteenergy.com/webcast-and-presentations/default.aspx#event-upcoming,https://ir.dteenergy.com/webcast-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,0000936340,use-sec
58060,DZ HYP,Kartigeiswary Deva Kumar,https://dzhyp.de/en/investor-relations/rating-and-reports/calendar-of-events/,https://dzhyp.de/en/investor-relations/rating-and-reports/calendar-of-events/,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
1572,DaVita Healthcare Partners,Cata Rifo,https://investors.davita.com/events/?events_time_period=future,https://investors.davita.com/events/?events_time_period=future,200,calendar-page,calendar/results keywords present,2,0,1,,use-jsonld
57810,Daimler Truck,Peter Megarity,https://www.daimlertruck.com/en/investors/financial-calendar,https://www.daimlertruck.com/en/investors/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
57820,Danaher,Gisela Pollanco,https://investors.danaher.com/,https://investors.danaher.com/,200,calendar-page,calendar/results keywords present,1,0,0,,use-rss
2802,Danaos,Peter Megarity,https://www.danaos.com/investors/events-and-presentations/default.aspx,https://www.danaos.com/investors/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,0001369241,use-sec
57825,Danone,Neil McShane,https://www.danone.com/investors/publications-and-events/financial-calendar.html,https://www.danone.com/investors/publications-and-events/financial-calendar.html,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
1705,Danske Bank,Mark Joseph,https://danskebank.com/investor-relations,https://danskebank.com/investor-relations,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
57829,Dar Al-Arkan Real Estate,Muhammad Azrul Mokhtar,https://www.daralarkan.com/ar/investor-relations/financial-calendar,https://www.daralarkan.com/ar/investor-relations/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
1162,Darling Ingredients,Rafael Alamo,https://www.darlingii.com/media/events,https://www.darlingii.com/media/events,200,non-ir-page,no IR/calendar signals,0,0,0,0000916540,use-sec
2502,Dauch Corporation,Martina Pino,https://www.dauch.com/investors,https://www.dauch.com/investors,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,0001062231,use-sec
2179,David Lloyd,Neil McShane,https://investor-relations.davidlloyd.co.uk/financial-calendar/,https://investor-relations.davidlloyd.co.uk/investors/financial-calendar/,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
2769,DeepOcean,Michael Clark,https://www.deepoceangroup.com/investors,https://www.deepoceangroup.com/investors,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
